K 263 ,Estimate,Std..Error,t.value,Pr...t..,
K 263 (Intercept),-3.623360085,81.55188356,-0.044430121,0.964686275,1
K 263 dowjones,-0.849748926,0.417682054,-2.034439639,0.045643523,1
K 263 money,1.73735995,0.513788571,3.381468661,0.001175538,1
K 263 stockmarket,1.192339473,0.509061924,2.34222875,0.021977591,1
K 263 happy,0.734145017,0.317505842,2.312225229,0.023669266,1
K 263 sell,-1.949819137,0.670992709,-2.905872316,0.00488084,1
K 263 ore,0.600251301,0.239905266,2.502034702,0.014653883,1
K 263 rich,0.625175058,0.233248484,2.680296335,0.009137768,1
K 263 chance,0.363550632,0.169138871,2.14942095,0.035010315,1
K 263 gains,0.599496617,0.23162537,2.58821655,0.011693008,1
K 263 movie,0.940469026,0.375586365,2.504002047,0.014579377,1
K 263 lifestyle,0.343273228,0.169895036,2.020501817,0.047104571,1
K 263 fond,1.360178649,0.302479406,4.496764475,2.63E-05,1
