G 318 ,Estimate,Std..Error,t.value,Pr...t..,
G 318 (Intercept),26.77579508,20.72534728,1.291934689,0.200569309,1
G 318 marriage,-0.117608017,0.047485838,-2.476696705,0.015644564,1
G 318 happy,0.210201832,0.080689967,2.605055352,0.011182105,1
G 318 oil,0.106033848,0.049120103,2.158665034,0.034257746,1
G 318 gain,0.165555571,0.080117193,2.066417509,0.042438072,1
G 318 default,0.163575244,0.081990542,1.995050147,0.049876362,1
G 318 gains,0.161684495,0.058864566,2.746720241,0.00762264,1
G 318 culture,0.285750693,0.143062033,1.997390141,0.049615825,1
