C 305 ,Estimate,Std..Error,t.value,Pr...t..,
C 305 (Intercept),74.26541015,27.83316491,2.668234475,0.009440708,1
C 305 dowjones,-0.393533899,0.14255236,-2.760627035,0.007336101,1
C 305 marriage,-0.140733532,0.063771243,-2.206849458,0.030559369,1
C 305 stockmarket,0.492635556,0.173739757,2.835479706,0.005956386,1
C 305 rich,0.185677861,0.079606298,2.332451898,0.02251665,1
C 305 culture,0.420544598,0.192125569,2.188904891,0.031893659,1
C 305 tourism,-0.387255891,0.169118746,-2.289846042,0.025005186,1
C 305 opportunity,0.273412471,0.123250426,2.218349105,0.029730267,1
C 305 fun,-0.307442753,0.129523376,-2.373646838,0.020322119,1
