X 154 ,Estimate,Std..Error,t.value,Pr...t..,
X 154 (Intercept),71.67185051,54.44078849,1.316510148,0.192236949,1
X 154 stocks,0.476666614,0.150365852,3.170045639,0.002250024,1
X 154 economics,-0.877301913,0.351182011,-2.498140238,0.014802382,1
X 154 credit,0.877763809,0.385339228,2.277898915,0.025745317,1
X 154 revenue,-0.349218016,0.15307173,-2.281401116,0.025526374,1
X 154 dowjones,-0.863175937,0.278827899,-3.095730164,0.002809514,1
X 154 cancer,-0.499462597,0.209184908,-2.38766076,0.019620217,1
X 154 stockmarket,0.881534673,0.339829459,2.594050189,0.011513665,1
X 154 invest,0.829792684,0.276248601,3.003789637,0.003681069,1
X 154 fed,0.428598513,0.198070654,2.1638668,0.033840504,1
X 154 house,0.778673747,0.365315352,2.131511153,0.036509459,1
X 154 risk,0.709836892,0.292237336,2.428974004,0.017675165,1
X 154 rich,0.419898301,0.155707396,2.696713916,0.008739665,1
X 154 success,-0.827868066,0.243781003,-3.395949877,0.001123376,1
X 154 default,-0.678771788,0.215370566,-3.151646026,0.002377918,1
X 154 shortsell,-0.332351008,0.164785016,-2.016876382,0.047491132,1
X 154 nyse,-0.592772059,0.265718886,-2.23082396,0.028853252,1
X 154 arts,-1.127616484,0.447084712,-2.522153978,0.013907865,1
X 154 health,0.806512051,0.259382502,3.109354121,0.00269809,1
X 154 culture,1.24832127,0.375791525,3.321845193,0.001415348,1
X 154 rareearths,-0.251414502,0.096281207,-2.611252094,0.010999246,1
X 154 lifestyle,0.258425665,0.113415157,2.278581372,0.025702523,1
X 154 kitchen,-0.797607035,0.376525089,-2.118337018,0.037647572,1
X 154 transaction,0.530714647,0.222175031,2.388723178,0.019567897,1
