X 430 ,Estimate,Std..Error,t.value,Pr...t..,
X 430 (Intercept),68.49995023,19.40245255,3.530478946,0.000732874,1
X 430 dowjones,-0.320028484,0.099373011,-3.220476875,0.001931702,1
X 430 unemployment,-0.133004402,0.051979014,-2.558809641,0.012636176,1
X 430 money,0.303676567,0.122238236,2.484300965,0.015341107,1
X 430 stockmarket,0.353064444,0.121113693,2.915148853,0.004753319,1
X 430 office,0.287242062,0.116024996,2.475691198,0.015685091,1
X 430 sell,-0.388380601,0.159639528,-2.43285987,0.017501405,1
X 430 risk,0.237086483,0.104152074,2.276349121,0.025842731,1
X 430 rich,0.136602421,0.055493417,2.461596867,0.016263174,1
X 430 travel,0.527688175,0.165432921,3.189741016,0.002120271,1
X 430 success,-0.22509315,0.086882455,-2.590777973,0.011613953,1
X 430 culture,0.436698297,0.133930412,3.260635809,0.001708957,1
X 430 tourism,-0.27243981,0.117892394,-2.310919314,0.023745449,1
X 430 lifestyle,0.090685947,0.040420653,2.243554728,0.027981775,1
X 430 kitchen,-0.328238599,0.134191851,-2.446039729,0.016923389,1
X 430 fun,-0.188871081,0.090290528,-2.091814999,0.040032592,1
