D 379 ,Estimate,Std..Error,t.value,Pr...t..,
D 379 (Intercept),-17.14405767,33.68790993,-0.508908321,0.612394384,1
D 379 headlines,0.140843019,0.064683542,2.177416598,0.032774421,1
D 379 invest,0.357155031,0.170942381,2.089329927,0.040262631,1
D 379 ore,-0.207940604,0.099101414,-2.098260712,0.039441222,1
D 379 finance,-0.559577001,0.216798116,-2.581097159,0.011915307,1
D 379 car,0.665948818,0.252858831,2.633678305,0.010359927,1
D 379 gold,-0.27751848,0.127367013,-2.17888818,0.032660426,1
D 379 economy,-0.377873349,0.189050244,-1.99879852,0.049459577,1
