P 297 ,Estimate,Std..Error,t.value,Pr...t..,
P 297 (Intercept),53.65773749,31.59395141,1.698354752,0.093819554,1
P 297 dowjones,-0.347561597,0.161813878,-2.147909697,0.035134708,1
P 297 stockmarket,0.40270818,0.197215282,2.041972491,0.044870239,1
P 297 invest,0.472426608,0.160317018,2.946827569,0.004340698,1
P 297 profit,0.306983682,0.137440126,2.233581205,0.028662508,1
P 297 risk,0.417821152,0.169595857,2.463628291,0.016178692,1
P 297 rich,0.249066843,0.090362613,2.756304134,0.007424097,1
P 297 success,-0.395761376,0.141474901,-2.797396384,0.006625383,1
P 297 default,-0.359603914,0.124987301,-2.877123615,0.005296379,1
P 297 conflict,-0.230883908,0.092167619,-2.505043626,0.014540069,1
P 297 kitchen,-0.49423322,0.218511078,-2.261822257,0.026771779,1
P 297 forex,-0.192374431,0.094963867,-2.025764508,0.046548249,1
