IG 57 ,Estimate,Std..Error,t.value,Pr...t..,
IG 57 (Intercept),35.36553016,28.53563061,1.239346368,0.219298382,1
IG 57 economics,-0.404113242,0.184075221,-2.195370136,0.031407162,1
IG 57 office,0.342566049,0.170640615,2.007529386,0.048500338,1
IG 57 leverage,-0.080930301,0.040490438,-1.998750908,0.049464852,1
IG 57 returns,-0.157342334,0.059280805,-2.65418687,0.009805034,1
IG 57 tourism,0.432205813,0.173387039,2.492722724,0.01501121,1
IG 57 dividend,0.282085648,0.090336784,3.122600078,0.002593723,1
