V 388 ,Estimate,Std..Error,t.value,Pr...t..,
V 388 (Intercept),61.79250353,29.82166164,2.072067756,0.041892379,1
V 388 economics,-0.460933656,0.19237104,-2.396065723,0.019209694,1
V 388 unemployment,-0.195882155,0.079891991,-2.451837197,0.016674598,1
V 388 cancer,-0.341978615,0.114587641,-2.984428432,0.003894055,1
V 388 office,0.498168674,0.17833097,2.793506224,0.006697469,1
V 388 happy,0.377389559,0.116104636,3.250426264,0.001763179,1
V 388 car,0.449798181,0.223839072,2.009471249,0.048289172,1
V 388 gain,0.34498203,0.115280473,2.992545249,0.00380341,1
V 388 default,-0.3084088,0.117976031,-2.614164906,0.010914233,1
V 388 culture,0.439142838,0.205851679,2.133297339,0.036357479,1
