T 282 ,Estimate,Std..Error,t.value,Pr...t..,
T 282 (Intercept),-52.36052871,149.9997022,-0.349070884,0.728069225,1
T 282 economics,-1.962344856,0.96760533,-2.028042627,0.046309185,1
T 282 dowjones,-2.616748513,0.768249376,-3.406118632,0.001088061,1
T 282 markets,2.198698014,1.04252652,2.109009192,0.038471927,1
T 282 cancer,1.236905849,0.576363326,2.146052313,0.03528812,1
T 282 stockmarket,2.162274531,0.936325853,2.309318412,0.023839138,1
T 282 office,3.121187501,0.896985308,3.479641722,0.000862235,1
T 282 house,-2.934428022,1.006546663,-2.915342258,0.004750694,1
T 282 travel,3.180904732,1.2789563,2.487109788,0.015230362,1
T 282 default,1.861524117,0.593406555,3.137013068,0.002484449,1
T 282 nyse,-1.643895128,0.732130355,-2.245358515,0.027860191,1
T 282 culture,2.164442651,1.035411469,2.090417884,0.04016178,1
T 282 tourism,-2.219999794,0.911422096,-2.435753757,0.017372997,1
T 282 garden,1.893753651,0.831182507,2.278384874,0.025714838,1
