E 224 ,Estimate,Std..Error,t.value,Pr...t..,
E 224 (Intercept),12137.99329,NA,NA,NA,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
E 224 ,,,,,1
