Z 413 ,Estimate,Std..Error,t.value,Pr...t..,
Z 413 (Intercept),31.32679986,19.55008781,1.602386658,0.113510154,1
Z 413 money,0.27224341,0.123168359,2.210335608,0.030305908,1
Z 413 ore,0.117208616,0.057511474,2.03800403,0.045276203,1
Z 413 fed,-0.14870816,0.07112863,-2.090693446,0.040136271,1
Z 413 gain,0.215411601,0.075574037,2.85033868,0.005712659,1
