D 171 ,Estimate,Std..Error,t.value,Pr...t..,
D 171 (Intercept),-6.966706776,44.44148921,-0.156761326,0.875877867,1
D 171 restaurant,-0.771614497,0.300359862,-2.568966747,0.0123029,1
D 171 inflation,0.321987968,0.153168087,2.102187042,0.039084719,1
D 171 unemployment,-0.377607633,0.119058391,-3.171617141,0.002239404,1
D 171 money,0.888839034,0.27998776,3.174563894,0.002219617,1
D 171 stockmarket,0.584809533,0.277411986,2.10809036,0.038553972,1
D 171 loss,-0.579249838,0.207153216,-2.796238687,0.006646761,1
D 171 sell,-1.291168178,0.365655751,-3.531103162,0.000731406,1
D 171 rich,0.350963747,0.127108162,2.761142496,0.007325672,1
D 171 leverage,0.166712697,0.063059948,2.64371764,0.010084826,1
D 171 gains,0.413377315,0.12622365,3.274959291,0.001635521,1
D 171 movie,0.456377845,0.204674824,2.22977031,0.028926437,1
D 171 food,-0.583601213,0.208005916,-2.805695267,0.006473977,1
D 171 lifestyle,0.326392067,0.092583863,3.525366711,0.000744999,1
D 171 fond,0.368725601,0.164835375,2.236932466,0.028432163,1
D 171 home,1.013404351,0.32560291,3.112393404,0.002673802,1
D 171 fun,-0.456456807,0.206811254,-2.207117835,0.030539791,1
