D 149 ,Estimate,Std..Error,t.value,Pr...t..,
D 149 (Intercept),7.203507376,21.49758061,0.335084562,0.738549307,1
D 149 revenue,-0.180786277,0.060444971,-2.990923406,0.003821364,1
D 149 dowjones,-0.262092875,0.110103571,-2.380421201,0.019980072,1
D 149 hedge,0.179954715,0.066652789,2.699882732,0.008664673,1
D 149 money,0.35300244,0.135437843,2.606379663,0.011142796,1
D 149 office,0.390765219,0.128553682,3.039704609,0.003314352,1
D 149 fed,0.184253813,0.078214148,2.355760673,0.021250414,1
D 149 metals,0.210508331,0.093332565,2.25546498,0.027187532,1
D 149 water,-0.362021672,0.155750323,-2.324371884,0.022970977,1
D 149 success,-0.316196852,0.096264252,-3.284675739,0.001587404,1
D 149 default,-0.378867499,0.085045537,-4.454878076,3.06E-05,1
D 149 nyse,-0.296992697,0.104927084,-2.830467465,0.006040734,1
D 149 greed,-0.132675334,0.051948191,-2.55399335,0.012797043,1
D 149 fond,0.167177286,0.079735441,2.096649667,0.039588315,1
