E 150 ,Estimate,Std..Error,t.value,Pr...t..,
E 150 (Intercept),214.9889579,94.62707964,2.271960191,0.037239239,1
E 150 portfolio,-1.046150917,0.387839008,-2.697384467,0.015856711,1
E 150 housing,-1.467255324,0.533640084,-2.749522324,0.014248052,1
E 150 dowjones,-1.494181197,0.514084473,-2.906489646,0.010301294,1
E 150 cancer,0.993575855,0.425562193,2.334737133,0.032913843,1
E 150 office,-1.468825696,0.540749216,-2.716278919,0.015254504,1
E 150 loss,-1.143079135,0.397501726,-2.875658296,0.01098165,1
E 150 car,-2.252003865,0.610093374,-3.691244589,0.001978616,1
E 150 risk,0.944270901,0.399759202,2.362099224,0.031179815,1
E 150 holiday,-1.502454023,0.470232798,-3.195128096,0.005635102,1
E 150 chance,-0.745597799,0.294854784,-2.528694933,0.022344349,1
E 150 gain,-1.175595998,0.295623388,-3.976667767,0.001083925,1
E 150 default,-0.852184544,0.371539977,-2.293655049,0.035687731,1
E 150 economy,0.901129291,0.414882037,2.172013273,0.045231062,1
E 150 nyse,1.276014771,0.546024424,2.336918854,0.032772329,1
E 150 BUYANDHOLD,-0.251421617,0.104956066,-2.395493907,0.029179733,1
E 150 culture,-1.412819331,0.551952966,-2.559673411,0.020988538,1
E 150 financialmarkets,-0.457532296,0.200825909,-2.278253328,0.036782829,1
E 150 greed,-0.546691381,0.224786116,-2.432051369,0.027129041,1
E 150 consumption,-0.552027533,0.22766365,-2.424750426,0.027527395,1
E 150 kitchen,1.64201398,0.48712164,3.37085,0.003892323,1
E 150 home,1.49856655,0.591702569,2.532634855,0.022167396,1
E 150 labor,0.745502651,0.279125945,2.670846856,0.016741268,1
