L 290 ,Estimate,Std..Error,t.value,Pr...t..,
L 290 (Intercept),54.55558767,NA,NA,NA,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
L 290 ,,,,,1
