M 281 ,Estimate,Std..Error,t.value,Pr...t..,
M 281 (Intercept),63.46444185,32.3553107,1.961484544,0.053744396,1
M 281 housing,0.390374104,0.173090278,2.255320794,0.027197027,1
M 281 dowjones,-0.627838918,0.165713311,-3.78870542,0.000314338,1
M 281 investment,-0.887735566,0.352832151,-2.516027989,0.014131307,1
M 281 society,-0.471816799,0.234140634,-2.015100028,0.047681528,1
M 281 stockmarket,0.863668998,0.201967827,4.276270193,5.82E-05,1
M 281 bonds,-0.307057538,0.08699085,-3.529768212,0.000734548,1
M 281 sell,-1.068330703,0.266213073,-4.013066261,0.00014667,1
M 281 banking,-0.210257823,0.103654345,-2.028451612,0.046266378,1
M 281 house,0.498161138,0.217114631,2.294461389,0.02472434,1
M 281 rich,0.286575755,0.092540195,3.096770611,0.002800856,1
M 281 water,0.595232464,0.234414755,2.539227809,0.01330182,1
M 281 gains,0.385290504,0.091896232,4.19266922,7.84E-05,1
M 281 food,-0.511715916,0.15143723,-3.379062835,0.001184423,1
M 281 culture,0.502445669,0.223340842,2.249681091,0.027570719,1
M 281 lifestyle,0.147586126,0.067405024,2.189541926,0.031845432,1
M 281 world,-0.151591377,0.067372343,-2.250053503,0.027545904,1
M 281 consumption,0.245972243,0.101561494,2.42190453,0.017995246,1
M 281 dividend,0.224802568,0.102428951,2.194717076,0.031456006,1
M 281 home,0.541050301,0.237052887,2.282403338,0.025464023,1
M 281 train,0.332114178,0.132388944,2.508624721,0.01440565,1
M 281 labor,0.1353411,0.067836395,1.995110447,0.049869634,1
