W 174 ,Estimate,Std..Error,t.value,Pr...t..,
W 174 (Intercept),12.91367067,15.56930547,0.829431389,0.409640329,1
W 174 stocks,0.093745804,0.043002534,2.180006491,0.032574028,1
W 174 economics,-0.201015406,0.100433153,-2.001484577,0.04916275,1
W 174 cancer,-0.140674922,0.059823963,-2.351481142,0.021478039,1
W 174 investment,0.404720727,0.169782067,2.383766047,0.019813085,1
W 174 headlines,0.059635516,0.02989434,1.994876488,0.049895745,1
W 174 bonds,0.100210268,0.041859809,2.393949481,0.019312329,1
W 174 invest,0.26970453,0.079003243,3.413841248,0.001061945,1
W 174 cash,0.092382418,0.036040071,2.563325087,0.01248702,1
W 174 happy,0.129948914,0.060615957,2.143807027,0.03547435,1
W 174 profit,-0.180805641,0.067729651,-2.669519753,0.009407998,1
W 174 car,0.370739677,0.116861996,3.172457173,0.002233746,1
W 174 water,-0.419587551,0.112799873,-3.719751996,0.000395375,1
W 174 success,-0.165922082,0.069717963,-2.379904312,0.020005988,1
W 174 war,-0.144907321,0.053235256,-2.722017912,0.008156995,1
W 174 oil,0.150362847,0.036900027,4.074870885,0.000118399,1
W 174 gain,0.155370634,0.060185677,2.581521753,0.011901943,1
W 174 bubble,0.194156043,0.051610857,3.761922497,0.000343725,1
W 174 trader,0.131800773,0.05876792,2.242733328,0.028037297,1
