C 417 ,Estimate,Std..Error,t.value,Pr...t..,
C 417 (Intercept),44.47412727,16.63263437,2.673907589,0.009297103,1
C 417 dowjones,0.224425422,0.085186909,2.634505993,0.010336991,1
C 417 stockmarket,-0.225017721,0.103823977,-2.167300157,0.033567545,1
C 417 happy,0.147378886,0.064755814,2.275917444,0.025869923,1
C 417 gain,0.129769152,0.064296147,2.018303696,0.047338621,1
C 417 food,0.184983586,0.077848119,2.376211379,0.020192023,1
C 417 labor,-0.069722156,0.03487211,-1.999367311,0.049396594,1
