E 304 ,Estimate,Std..Error,t.value,Pr...t..,
E 304 (Intercept),61.58276796,36.01631419,1.709857584,0.091659427,1
E 304 economics,-0.509964851,0.232330979,-2.19499291,0.031435367,1
E 304 dowjones,-0.462083822,0.184463772,-2.505011237,0.01454129,1
E 304 unemployment,0.19832872,0.096487415,2.055487965,0.043511072,1
E 304 invest,0.445522919,0.18275739,2.437783338,0.017283445,1
E 304 chance,0.152822442,0.074697952,2.0458719,0.044474396,1
E 304 culture,0.594607708,0.248611859,2.391710961,0.019421426,1
E 304 financialmarkets,0.246815819,0.105020462,2.350168863,0.021548271,1
E 304 lifestyle,0.405103323,0.075031903,5.399081052,8.43E-07,1
