M 204 ,Estimate,Std..Error,t.value,Pr...t..,
M 204 (Intercept),-171.5188169,88.9231609,-1.928843005,0.057748365,1
M 204 stocks,0.548388607,0.245606415,2.232794317,0.028716831,1
M 204 credit,2.048672029,0.6294101,3.254908091,0.00173918,1
M 204 happy,0.870453419,0.346204426,2.514275825,0.014195808,1
M 204 finance,-1.513167319,0.572263871,-2.644177617,0.010072382,1
M 204 fed,0.690599355,0.323527068,2.134595287,0.036247387,1
M 204 rich,0.568140143,0.25433125,2.233858963,0.028643354,1
M 204 derivatives,-0.653383467,0.279901246,-2.334335683,0.022411882,1
M 204 success,-1.072620453,0.398189996,-2.693740338,0.008810575,1
M 204 default,-0.775147101,0.351784609,-2.203470763,0.03080679,1
M 204 lifestyle,-0.433273244,0.185251437,-2.338838782,0.022163189,1
M 204 consume,0.742723343,0.344198919,2.157831711,0.034325004,1
