D 128 ,Estimate,Std..Error,t.value,Pr...t..,
D 128 (Intercept),56.45758232,20.57059713,2.744576736,0.007667706,1
D 128 happy,0.172215307,0.080087479,2.150339972,0.034934857,1
D 128 culture,0.367873725,0.14199383,2.590772606,0.011614118,1
