SY 70 ,Estimate,Std..Error,t.value,Pr...t..,
SY 70 (Intercept),-24.2354919,45.46923212,-0.533008603,0.595692093,1
SY 70 fond,0.803389438,0.168647317,4.763724997,9.77E-06,1
