S 126 ,Estimate,Std..Error,t.value,Pr...t..,
S 126 (Intercept),-29.54204925,NA,NA,NA,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
S 126 ,,,,,1
