T 370 ,Estimate,Std..Error,t.value,Pr...t..,
T 370 (Intercept),102.4388533,35.49622084,2.885908721,0.005166058,1
T 370 economics,-0.579872346,0.228976005,-2.532459009,0.013539172,1
T 370 dowjones,-0.553919656,0.181800024,-3.046862387,0.003245452,1
T 370 markets,0.496872701,0.2467055,2.014031709,0.047796349,1
T 370 unemployment,-0.207171812,0.095094089,-2.178598207,0.032682861,1
T 370 invest,0.649546798,0.180118283,3.606223574,0.000573772,1
T 370 car,0.616622222,0.266431872,2.314371086,0.023544553,1
T 370 fed,0.500615897,0.129145075,3.876383965,0.000234027,1
T 370 metals,0.403111274,0.154108194,2.615767937,0.010867701,1
T 370 water,-0.87691289,0.2571707,-3.40984758,0.001075376,1
T 370 success,-0.55608537,0.158948916,-3.498516283,0.000811868,1
T 370 oil,0.201463686,0.084127807,2.394733614,0.019274242,1
T 370 gain,0.2798752,0.137216402,2.039662869,0.045106125,1
T 370 nyse,-0.379984849,0.173252749,-2.19323994,0.031566732,1
T 370 culture,0.616607389,0.245021781,2.516541128,0.014112467,1
T 370 present,-0.488738904,0.208658966,-2.34228566,0.021974487,1
T 370 trader,-0.604245557,0.13398408,-4.509830986,2.50E-05,1
T 370 buy,-0.420654105,0.168638155,-2.494418336,0.014945567,1
T 370 greed,-0.209918305,0.085775441,-2.447300798,0.01686899,1
T 370 world,-0.208291115,0.073912552,-2.818075017,0.006254019,1
T 370 home,0.545184091,0.260064931,2.096338363,0.039616792,1
