I 399 ,Estimate,Std..Error,t.value,Pr...t..,
I 399 (Intercept),134.689351,49.75481196,2.707061804,0.008496942,1
I 399 forex,-0.362679721,0.149551074,-2.425122821,0.017848896,1
I 399 fun,-0.608203175,0.231537134,-2.626806183,0.010552153,1
