K 373 ,Estimate,Std..Error,t.value,Pr...t..,
K 373 (Intercept),-27.03595389,40.69785914,-0.664308995,0.508644322,1
K 373 economics,-0.651756144,0.262530291,-2.482594073,0.015408758,1
K 373 housing,-0.50576275,0.217720171,-2.322994458,0.023049233,1
K 373 credit,0.753519797,0.288064924,2.615798499,0.010866816,1
K 373 revenue,-0.326211962,0.114430593,-2.850740816,0.005706193,1
K 373 cancer,-0.350093655,0.156378667,-2.238755848,0.028307521,1
K 373 bonds,0.337691145,0.109420719,3.08617186,0.002890233,1
K 373 office,0.614258376,0.243369695,2.523972335,0.013842157,1
K 373 invest,0.673547014,0.206512928,3.261524692,0.001704311,1
K 373 sell,0.71964909,0.334853906,2.149143484,0.035033125,1
K 373 finance,-0.771333122,0.261910555,-2.945024964,0.004363258,1
K 373 success,-0.500758754,0.182241389,-2.747777315,0.007600506,1
K 373 movie,-0.494580532,0.187433574,-2.63869766,0.010221544,1
K 373 food,0.532600784,0.190484064,2.796038546,0.006650463,1
