D 142 ,Estimate,Std..Error,t.value,Pr...t..,
D 142 (Intercept),55.89385795,12.01990777,4.650107058,1.49E-05,1
D 142 economics,-0.170721696,0.077536999,-2.201809427,0.030929092,1
D 142 dowjones,-0.201285522,0.061562033,-3.269637339,0.001662453,1
D 142 money,0.15782151,0.075727144,2.084081107,0.040752271,1
D 142 stockmarket,0.207500922,0.075030485,2.765554853,0.007236958,1
D 142 lifestyle,0.176104849,0.025040779,7.032722605,1.02E-09,1
D 142 dividend,0.078223563,0.03805207,2.055697986,0.043490235,1
D 142 forex,-0.083080946,0.03612897,-2.299565855,0.024416983,1
D 142 fun,-0.135939016,0.055935394,-2.430286206,0.017616317,1
