C 221 ,Estimate,Std..Error,t.value,Pr...t..,
C 221 (Intercept),39.87191509,46.68586436,0.854046843,0.395951446,1
C 221 restaurant,-0.769338892,0.315528575,-2.438254257,0.017262725,1
C 221 economics,-1.069553391,0.301157206,-3.551478663,0.000685003,1
C 221 credit,-0.928754374,0.330448831,-2.810584533,0.006386271,1
C 221 dowjones,-0.661658071,0.239109716,-2.767173508,0.007204661,1
C 221 money,0.644998779,0.294127646,2.1929213,0.031590662,1
C 221 invest,0.532062913,0.236897831,2.245959414,0.027819791,1
C 221 returns,0.204478331,0.096986664,2.108313887,0.038533998,1
C 221 oil,0.292890637,0.110647818,2.647052994,0.00999491,1
C 221 gain,0.396063594,0.180471785,2.194601189,0.031464681,1
C 221 default,0.422075806,0.184691686,2.285299433,0.025284604,1
C 221 shortsell,0.282979117,0.141311894,2.002514506,0.049049342,1
C 221 nyse,-0.482384735,0.227868042,-2.116947733,0.03776937,1
C 221 conflict,0.291407219,0.136194581,2.139638863,0.035822339,1
C 221 shortselling,-0.402399734,0.163007247,-2.468600261,0.015973579,1
C 221 consume,-0.369164823,0.180709096,-2.042867959,0.044779069,1
