K 374 ,Estimate,Std..Error,t.value,Pr...t..,
K 374 (Intercept),-38.07651316,32.38380662,-1.175788678,0.243606954,1
K 374 stocks,0.233237507,0.089444308,2.607628268,0.011105849,1
K 374 housing,-0.372539628,0.173242722,-2.150391216,0.034930653,1
K 374 revenue,-0.289971248,0.091053885,-3.184611478,0.002153372,1
K 374 unemployment,-0.210151902,0.086755957,-2.422333989,0.017975655,1
K 374 cancer,-0.252204085,0.124432504,-2.026834446,0.046435839,1
K 374 bonds,0.21201433,0.087067465,2.435058044,0.01740379,1
K 374 office,0.762944851,0.193652376,3.939764985,0.000188644,1
K 374 invest,0.606010351,0.164324976,3.687877311,0.000439244,1
K 374 happy,0.436736968,0.126079832,3.463971683,0.000906285,1
K 374 sell,0.573756723,0.266447532,2.153357243,0.034688113,1
K 374 finance,-0.756704444,0.208405576,-3.63092226,0.000529418,1
K 374 car,0.58777554,0.243070333,2.418129485,0.018168282,1
K 374 success,-0.471885401,0.145011802,-3.254117211,0.001743393,1
K 374 oil,0.235274001,0.07675123,3.065410161,0.003073065,1
K 374 movie,-0.43641855,0.14914329,-2.926169527,0.004605827,1
K 374 food,0.848849753,0.151570604,5.600358726,3.79E-07,1
K 374 culture,0.536041731,0.223537542,2.397994202,0.019116589,1
K 374 kitchen,-0.487364618,0.223973899,-2.175988447,0.032885385,1
K 374 shortselling,-0.233576706,0.113070525,-2.065761229,0.042501851,1
K 374 transaction,0.292331693,0.132159608,2.211959453,0.030188477,1
K 374 labor,-0.145075998,0.067896139,-2.136734127,0.036066603,1
