C 161 ,Estimate,Std..Error,t.value,Pr...t..,
C 161 (Intercept),9.417363447,29.08125407,0.323829345,0.74701923,1
C 161 religion,-0.354687433,0.146886784,-2.41469943,0.018326794,1
C 161 office,0.368557521,0.173903396,2.119323309,0.037561311,1
C 161 travel,0.515007661,0.24795818,2.076994039,0.041421565,1
C 161 returns,-0.141847533,0.0604143,-2.34791321,0.021669469,1
C 161 tourism,-0.363239394,0.176702334,-2.055657019,0.043494299,1
C 161 trader,0.239234699,0.109770139,2.179415116,0.032619691,1
C 161 consumption,0.453790568,0.091284415,4.971172423,4.45E-06,1
