H 325 ,Estimate,Std..Error,t.value,Pr...t..,
H 325 (Intercept),62.38687071,50.2544463,1.24141992,0.218536396,1
H 325 economics,-1.086389806,0.324177111,-3.351223048,0.001291946,1
H 325 revenue,-0.476108568,0.141300948,-3.369464774,0.001220501,1
H 325 dowjones,-0.827873896,0.257386824,-3.216457944,0.001955433,1
H 325 money,0.66373107,0.316610224,2.096366509,0.039614217,1
H 325 cancer,-0.539505963,0.193099182,-2.79393189,0.006689546,1
H 325 stockmarket,0.741668998,0.313697538,2.364280584,0.020803625,1
H 325 bonds,0.33561127,0.135114666,2.483899634,0.015356989,1
H 325 invest,1.271575814,0.255005867,4.98645709,4.20E-06,1
H 325 car,0.932433132,0.377205965,2.471946945,0.015836834,1
H 325 risk,0.768445184,0.269765114,2.848571385,0.005741159,1
H 325 water,-0.85899015,0.364094285,-2.359251946,0.021066307,1
H 325 success,-1.072246758,0.225034935,-4.764801328,9.73E-06,1
H 325 war,-0.459960737,0.17183222,-2.676801459,0.009224619,1
H 325 oil,0.269157115,0.119105534,2.259820393,0.026902088,1
H 325 gain,0.421387739,0.194266717,2.169119573,0.03342368,1
H 325 movie,-0.49763856,0.231446338,-2.15012501,0.034952494,1
H 325 food,0.498100439,0.235213138,2.117655689,0.037707261,1
H 325 nyse,-0.613812394,0.245285858,-2.50243695,0.014638621,1
H 325 culture,1.050341506,0.346894223,3.027843758,0.003431526,1
H 325 shortselling,-0.370463634,0.175467223,-2.111298213,0.038268195,1
