V 411 ,Estimate,Std..Error,t.value,Pr...t..,
V 411 (Intercept),-129.8133725,NA,NA,NA,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
V 411 ,,,,,1
