K 267 ,Estimate,Std..Error,t.value,Pr...t..,
K 267 (Intercept),3.420214185,63.60821463,0.053770008,0.957269416,1
K 267 stocks,0.530416544,0.17568635,3.019110737,0.003520248,1
K 267 restaurant,-1.01045256,0.429899063,-2.350441412,0.021533668,1
K 267 economics,-1.333431779,0.410318465,-3.249748412,0.001766835,1
K 267 housing,-0.988088425,0.340283043,-2.903725139,0.004910803,1
K 267 credit,0.921168811,0.450227504,2.046007414,0.044460694,1
K 267 revenue,-0.454661687,0.178847877,-2.542169881,0.013199831,1
K 267 unemployment,-0.635737802,0.170405894,-3.730726609,0.000381263,1
K 267 cancer,-0.553610089,0.2444101,-2.265086796,0.026560471,1
K 267 bonds,0.445055778,0.171017757,2.602395127,0.011261448,1
K 267 invest,1.135060173,0.322766822,3.516656906,0.000766096,1
K 267 profit,-0.771378199,0.276708693,-2.787690509,0.00680658,1
K 267 car,1.629813889,0.477438311,3.413663822,0.001062538,1
K 267 success,-0.691559234,0.284831921,-2.427955523,0.017720962,1
K 267 oil,0.436664264,0.150754628,2.896523105,0.005012551,1
K 267 earnings,0.286071556,0.106147615,2.695035179,0.008779633,1
K 267 culture,1.331151379,0.439072038,3.031737991,0.003392636,1
K 267 present,-0.755269047,0.373910912,-2.019917107,0.047166732,1
K 267 lifestyle,-0.498897851,0.132513431,-3.764885173,0.000340349,1
