M 324 ,Estimate,Std..Error,t.value,Pr...t..,
M 324 (Intercept),28.28494741,25.32595949,1.116836163,0.267829654,1
M 324 dowjones,0.396540615,0.129711275,3.057102136,0.003149199,1
M 324 money,-0.423313109,0.159557179,-2.653049583,0.009835083,1
M 324 headlines,-0.114786714,0.048627914,-2.36051077,0.021000274,1
M 324 stockmarket,-0.328658824,0.158089318,-2.078943903,0.041236481,1
M 324 invest,0.336244961,0.12851138,2.616460581,0.010847652,1
M 324 happy,0.270968758,0.098601525,2.748119346,0.007593356,1
M 324 gains,0.208454875,0.071931321,2.897970891,0.004991942,1
M 324 present,-0.300601448,0.14887468,-2.01915764,0.047247577,1
M 324 energy,0.465346866,0.139910655,3.326028776,0.001397121,1
M 324 conflict,-0.148636351,0.073882287,-2.011799531,0.048037026,1
