X 231 ,Estimate,Std..Error,t.value,Pr...t..,
X 231 (Intercept),38.24100951,29.89464698,1.279192544,0.204994157,1
X 231 credit,0.631387862,0.211598335,2.98389807,0.003900048,1
X 231 unemployment,-0.205140186,0.080087518,-2.561450162,0.012548759,1
X 231 cancer,-0.260351012,0.114868082,-2.266521795,0.026468052,1
X 231 banking,0.280903341,0.095771296,2.933063993,0.004515721,1
X 231 ore,0.181338973,0.087942582,2.062015553,0.042867451,1
X 231 rich,0.279451433,0.085502392,3.268346381,0.001669048,1
X 231 success,-0.444141214,0.133865567,-3.31781521,0.001433117,1
X 231 default,-0.364208187,0.118264765,-3.079600152,0.002946978,1
X 231 lifestyle,-0.142524143,0.062278784,-2.288486304,0.025088463,1
