I 279 ,Estimate,Std..Error,t.value,Pr...t..,
I 279 (Intercept),72.48558068,48.16528277,1.504934187,0.136776886,1
I 279 default,-0.44512563,0.190544342,-2.336073721,0.022315603,1
I 279 gains,0.304707835,0.136800046,2.227395696,0.029091972,1
I 279 culture,0.814399129,0.332473235,2.449517867,0.016773733,1
I 279 energy,0.556012137,0.266084145,2.089610173,0.040236632,1
