N 110 ,Estimate,Std..Error,t.value,Pr...t..,
N 110 (Intercept),149.0703822,NA,NA,NA,1
N 110 ,,,,,1
N 110 ,,,,,1
N 110 ,,,,,1
N 110 ,,,,,1
N 110 ,,,,,1
N 110 ,,,,,1
N 110 ,,,,,1
N 110 ,,,,,1
N 110 ,,,,,1
N 110 ,,,,,1
N 110 ,,,,,1
N 110 ,,,,,1
N 110 ,,,,,1
N 110 ,,,,,1
