M 353 ,Estimate,Std..Error,t.value,Pr...t..,
M 353 (Intercept),46.44888113,30.23951127,1.536032799,0.128974981,1
M 353 economics,-0.485454382,0.195066469,-2.488661345,0.015169497,1
M 353 credit,-0.467516576,0.214039331,-2.184255457,0.032247585,1
M 353 headlines,0.126164502,0.058062335,2.172914718,0.033125321,1
M 353 office,0.396397056,0.180829675,2.192101807,0.031652278,1
M 353 banking,0.239264202,0.096876113,2.469795643,0.015924615,1
M 353 car,0.732476949,0.226975419,3.227120149,0.001893066,1
M 353 risk,0.413402433,0.162325243,2.546753824,0.013042331,1
M 353 success,-0.399922693,0.135409839,-2.953424194,0.004259058,1
M 353 default,-0.398307302,0.119629066,-3.329519459,0.001382082,1
M 353 opportunity,0.342408719,0.133906174,2.557079394,0.012693756,1
M 353 lifestyle,0.144162106,0.062997231,2.288387982,0.025094494,1
M 353 forex,-0.209463418,0.090892744,-2.30451199,0.02412239,1
M 353 fun,-0.352958218,0.14072146,-2.508204636,0.01442136,1
