G 321 ,Estimate,Std..Error,t.value,Pr...t..,
G 321 (Intercept),47.44633042,46.9467359,1.010641731,0.316180067,1
G 321 sell,0.858678843,0.419248988,2.048135755,0.044857707,1
G 321 holiday,0.601378064,0.225546575,2.66631433,0.009803886,1
G 321 economy,-0.55431143,0.268378945,-2.065405802,0.043140736,1
G 321 tourism,-0.631049668,0.298625878,-2.113178109,0.038684612,1
G 321 lifestyle,0.223990619,0.109243862,2.050372573,0.044632047,1
G 321 consumption,0.335681837,0.14360685,2.337505745,0.022710535,1
