X 116 ,Estimate,Std..Error,t.value,Pr...t..,
X 116 (Intercept),-17.372795,36.57826855,-0.474948533,0.636281424,1
X 116 restaurant,0.53904378,0.247215921,2.18045738,0.03253925,1
X 116 credit,0.548653892,0.258905908,2.119124655,0.037578671,1
X 116 bonds,0.228922249,0.098344742,2.32775281,0.022779892,1
X 116 invest,0.428584406,0.185608912,2.309072349,0.023853567,1
X 116 sell,0.788991678,0.300958732,2.621594236,0.010700094,1
X 116 finance,-0.555927913,0.235398982,-2.36164111,0.020941138,1
X 116 food,0.445429998,0.171202549,2.601771997,0.011280107,1
X 116 fond,-0.300854957,0.135670355,-2.217543825,0.029787677,1
X 116 forex,0.326796596,0.109945533,2.972349917,0.004032658,1
X 116 labor,-0.16657394,0.076690281,-2.172034555,0.033194307,1
