I 306 ,Estimate,Std..Error,t.value,Pr...t..,
I 306 (Intercept),25.72459797,14.94176412,1.721657346,0.089486121,1
I 306 dowjones,-0.18722135,0.076526825,-2.446480039,0.016904378,1
I 306 unemployment,-0.086556786,0.040028865,-2.162359216,0.03396097,1
I 306 money,0.22275249,0.094135258,2.366302428,0.020698833,1
I 306 stockmarket,0.243720008,0.093269252,2.613079903,0.010945829,1
I 306 ore,0.100629766,0.043954937,2.289384836,0.025033405,1
I 306 profit,0.166730397,0.064999718,2.565094147,0.012429019,1
I 306 chance,0.07676878,0.030989267,2.477269929,0.015621502,1
I 306 travel,0.389209545,0.127399342,3.055035757,0.003168407,1
I 306 tourism,-0.255120367,0.09078854,-2.810050326,0.006395801,1
I 306 bubble,-0.130225405,0.049530613,-2.629190239,0.010485102,1
I 306 fond,0.121844076,0.055419639,2.198572174,0.031168631,1
I 306 garden,0.180149364,0.082795717,2.175829496,0.032897755,1
I 306 transaction,-0.145640431,0.060977936,-2.388411957,0.01958321,1
