B 152 ,Estimate,Std..Error,t.value,Pr...t..,
B 152 (Intercept),-1854.974352,NA,NA,NA,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
B 152 ,,,,,1
