X 332 ,Estimate,Std..Error,t.value,Pr...t..,
X 332 (Intercept),1785.718305,NA,NA,NA,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
X 332 ,,,,,1
