L 344 ,Estimate,Std..Error,t.value,Pr...t..,
L 344 (Intercept),270.5939209,81.63291976,3.314764702,0.001446706,1
L 344 dowjones,-0.969916609,0.418097094,-2.319835804,0.023229581,1
L 344 unemployment,-0.454203599,0.218693933,-2.07689163,0.041431306,1
L 344 loss,1.195767739,0.380512044,3.142522709,0.002443824,1
L 344 rich,0.687299545,0.233480258,2.943715889,0.004379709,1
L 344 chance,-0.346698122,0.16930694,-2.047749028,0.044284917,1
L 344 success,0.753899132,0.365544945,2.062397914,0.042830006,1
L 344 arts,-1.734597295,0.670394963,-2.587425905,0.011717509,1
L 344 conflict,-0.513666577,0.238144061,-2.156957329,0.034395699,1
L 344 consumption,0.696609297,0.256241128,2.718569426,0.008234257,1
