I 117 ,Estimate,Std..Error,t.value,Pr...t..,
I 117 (Intercept),-7.296496589,23.12591896,-0.315511639,0.753298756,1
I 117 stocks,0.139084645,0.063873956,2.177486018,0.032769036,1
I 117 dowjones,0.363113066,0.118443387,3.065709908,0.00307035,1
I 117 money,-0.363053199,0.145696608,-2.491843863,0.015045336,1
I 117 investment,0.531643401,0.25218635,2.108137098,0.038549794,1
I 117 stockmarket,-0.304154782,0.144356259,-2.106973294,0.038653921,1
I 117 cash,0.108874633,0.053532238,2.033814347,0.045708225,1
I 117 happy,0.281136014,0.09003611,3.122480674,0.002594646,1
I 117 gains,0.17213522,0.06568272,2.620707842,0.010725441,1
I 117 energy,0.337535247,0.127756758,2.642014807,0.010131014,1
I 117 conflict,-0.165889554,0.067464208,-2.458926882,0.016374813,1
