R 209 ,Estimate,Std..Error,t.value,Pr...t..,
R 209 (Intercept),11.21721573,47.3190549,0.23705494,0.813296824,1
R 209 economics,-0.677623552,0.305241738,-2.219957065,0.029615925,1
R 209 office,0.573806676,0.282963875,2.02784428,0.046329957,1
R 209 war,0.327434509,0.1617954,2.023756599,0.046759837,1
R 209 trader,0.495441386,0.178610565,2.773863833,0.007072566,1
R 209 fond,0.501044221,0.175508388,2.85481638,0.005641034,1
R 209 train,0.412587342,0.193616429,2.13095213,0.036557138,1
