R 286 ,Estimate,Std..Error,t.value,Pr...t..,
R 286 (Intercept),66.45651206,32.13443021,2.068078121,0.042277059,1
R 286 stocks,0.18670503,0.088755529,2.103587598,0.03895823,1
R 286 growth,-0.512562496,0.251002691,-2.042059763,0.044861346,1
R 286 religion,-0.539685472,0.1623081,-3.325068004,0.001401287,1
R 286 bonds,0.196727566,0.086396988,2.27701879,0.025800598,1
R 286 chance,0.140864229,0.066646912,2.113589718,0.038065181,1
R 286 gain,0.293315262,0.124220855,2.361240091,0.020962101,1
R 286 economy,-0.500725561,0.180332407,-2.776680963,0.007017611,1
R 286 culture,0.936015031,0.221816158,4.219778402,7.12E-05,1
R 286 politics,0.212647733,0.087483896,2.430707161,0.017597475,1
R 286 freedom,0.274988795,0.11932741,2.304489766,0.024123706,1
