G 192 ,Estimate,Std..Error,t.value,Pr...t..,
G 192 (Intercept),-33.44031852,37.83633953,-0.883814844,0.379779191,1
G 192 restaurant,-0.532335649,0.255718652,-2.081723975,0.04097383,1
G 192 dowjones,-0.545225376,0.193785346,-2.813553173,0.006333552,1
G 192 unemployment,-0.282602244,0.101363248,-2.788014874,0.006800451,1
G 192 marriage,-0.209993766,0.086690478,-2.422339448,0.017975406,1
G 192 society,-0.5607199,0.273804341,-2.047885354,0.044271183,1
G 192 stockmarket,0.629277248,0.236181421,2.664380814,0.009539406,1
G 192 office,0.564802058,0.226258054,2.49627383,0.014874029,1
G 192 happy,0.30469958,0.147308171,2.068449951,0.042241078,1
G 192 profit,-0.343601926,0.164595786,-2.08754996,0.040428103,1
G 192 car,0.588497419,0.283996621,2.072198664,0.041879808,1
G 192 fed,0.279502138,0.137659074,2.030393855,0.046063556,1
G 192 holiday,0.358359836,0.177067157,2.023863947,0.046748504,1
G 192 nasdaq,-0.184837955,0.090583577,-2.040523919,0.04501806,1
G 192 oil,0.368613922,0.089674004,4.110599564,0.000104531,1
G 192 economy,-0.577204105,0.212330455,-2.718423536,0.00823754,1
G 192 gains,0.356070396,0.107463565,3.313405764,0.001452799,1
G 192 nyse,-0.391953002,0.184674585,-2.122398176,0.037293485,1
G 192 culture,1.100121684,0.261175051,4.212200512,7.31E-05,1
G 192 present,-0.583395567,0.222414987,-2.623004753,0.010659872,1
G 192 energy,0.473190845,0.209022962,2.263822313,0.026642143,1
G 192 fun,0.378534211,0.176073776,2.14986138,0.034974135,1
