H 105 ,Estimate,Std..Error,t.value,Pr...t..,
H 105 ,(Intercept),-11.15098512,24.99609439,-0.446109098,0.656875992,1
H 105 ,housing,-0.388118754,0.13372089,-2.902454169,0.004928619,1
H 105 ,credit,0.543805565,0.17692572,3.073637709,0.002999359,1
H 105 ,revenue,-0.185189572,0.070281778,-2.634958543,0.01032447,1
H 105 ,office,0.45648966,0.149474493,3.053963599,0.003178415,1
H 105 ,happy,0.211463778,0.097317262,2.172931855,0.033123979,1
H 105 ,risk,0.330573159,0.13417866,2.463679097,0.016176584,1
H 105 ,rich,0.192957984,0.071491925,2.699017892,0.008685081,1
H 105 ,default,-0.287822872,0.098885838,-2.910658168,0.004814661,1
H 105 ,politics,-0.206100773,0.068050241,-3.02865603,0.00342338,1
H 105 ,lifestyle,-0.200360547,0.052073749,-3.847630521,0.000257908,1
