O 277 ,Estimate,Std..Error,t.value,Pr...t..,
O 277 ,(Intercept),38.3206447,24.61062065,1.557077542,0.123898675,1
O 277 ,dowjones,-0.281077148,0.126047543,-2.229929604,0.028915362,1
O 277 ,invest,0.260337838,0.12488154,2.084678309,0.040696302,1
O 277 ,energy,0.321261345,0.13595884,2.362930915,0.02087384,1
O 277 ,lifestyle,0.154208193,0.051270701,3.007725433,0.003639118,1
O 277 ,consumption,0.187581876,0.077251349,2.428201937,0.017709872,1
O 277 ,consume,-0.191770127,0.095261448,-2.013092723,0.047897465,1
