S 280 ,Estimate,Std..Error,t.value,Pr...t..,
S 280 ,(Intercept),48.86160271,36.64204876,1.333484463,0.186635343,1
S 280 ,office,0.514197904,0.219116298,2.346689451,0.021735476,1
S 280 ,food,0.349955258,0.171501069,2.040542723,0.045016138,1
S 280 ,culture,0.647000451,0.252931152,2.558010133,0.012662753,1
S 280 ,rareearths,-0.140935958,0.064803262,-2.174828146,0.032975779,1
S 280 ,fond,-0.277067326,0.135906918,-2.038655062,0.045209388,1
S 280 ,consumption,0.454582767,0.115017323,3.952298269,0.00018073,1
