G 213 ,Estimate,Std..Error,t.value,Pr...t..,
G 213 ,(Intercept),14.69448017,10.24768744,1.433931338,0.155981448,1
G 213 ,stockmarket,0.134048641,0.063967958,2.095559168,0.03968815,1
G 213 ,chance,0.051259776,0.021253737,2.411800631,0.018461717,1
G 213 ,default,-0.107010577,0.04054038,-2.639604698,0.010196717,1
G 213 ,bubble,-0.068020591,0.033970168,-2.002362498,0.049066066,1
G 213 ,forex,-0.070703253,0.030802099,-2.295403707,0.024667343,1
