H 271 ,Estimate,Std..Error,t.value,Pr...t..,
H 271 ,(Intercept),8.059946676,58.8425545,0.136974792,0.891737853,1
H 271 ,happy,0.553864825,0.255943115,2.164015335,0.036490871,1
H 271 ,derivatives,-0.386662819,0.177042308,-2.184013658,0.03488421,1
