S 364 ,Estimate,Std..Error,t.value,Pr...t..,
S 364 ,(Intercept),172.1983841,220.6994014,0.780239471,0.437957467,1
S 364 ,office,-2.84145748,1.299715729,-2.186214582,0.032245513,1
S 364 ,ore,1.835361187,0.670856126,2.735849188,0.007929604,1
S 364 ,profit,2.272055412,0.951050753,2.388994913,0.019674798,1
S 364 ,water,-3.516314542,1.663781294,-2.113447575,0.038234443,1
S 364 ,war,-1.713648008,0.762312208,-2.247960861,0.027824943,1
S 364 ,gains,-1.318095557,0.623527093,-2.113934699,0.038191335,1
S 364 ,freedom,1.870114269,0.818529945,2.284723093,0.025454631,1
S 364 ,environment,-3.433803042,1.419144379,-2.419629103,0.018215477,1
