I 308 ,Estimate,Std..Error,t.value,Pr...t..,
I 308 ,(Intercept),23.75995553,10.13105951,2.345258708,0.021812873,1
I 308 ,restaurant,-0.230537346,0.068471235,-3.366922576,0.00123023,1
I 308 ,holiday,0.095389683,0.047411508,2.011952108,0.048020542,1
I 308 ,chance,0.065496369,0.02101185,3.117115721,0.002636469,1
I 308 ,default,-0.123007164,0.040078994,-3.069118085,0.003039641,1
I 308 ,tourism,-0.17002527,0.061557932,-2.76203674,0.007307613,1
I 308 ,trader,0.094383691,0.03824071,2.468146923,0.015992184,1
I 308 ,buy,-0.106452126,0.048131411,-2.211697613,0.030207385,1
I 308 ,forex,-0.061016214,0.030451544,-2.00371497,0.048917438,1
