L 300 ,Estimate,Std..Error,t.value,Pr...t..,
L 300 ,(Intercept),2.321498259,20.68071714,0.112254244,0.910938589,1
L 300 ,stockmarket,0.273111366,0.129092857,2.115619501,0.037886136,1
L 300 ,office,0.27348567,0.123668908,2.211434331,0.030226408,1
L 300 ,loss,-0.234653583,0.096398144,-2.434212667,0.017441273,1
L 300 ,car,0.425896426,0.155227854,2.743685588,0.007686513,1
L 300 ,chance,0.142927972,0.042891874,3.332285516,0.001370274,1
L 300 ,tourism,-0.361540812,0.125659333,-2.877150489,0.005295976,1
L 300 ,buy,-0.208562091,0.098251529,-2.122736338,0.037264133,1
L 300 ,freedom,0.169350199,0.0767954,2.205212812,0.030679002,1
L 300 ,fond,0.250162717,0.07670566,3.261333218,0.00170531,1
L 300 ,labor,-0.099923271,0.043359351,-2.304537945,0.024120852,1
