Y 203 ,Estimate,Std..Error,t.value,Pr...t..,
Y 203 ,(Intercept),139.2593389,43.10103539,3.23099753,0.001870852,1
Y 203 ,stocks,0.257104636,0.119045372,2.159719709,0.034172788,1
Y 203 ,rich,0.336865515,0.123274298,2.732650039,0.00792294,1
Y 203 ,financialmarkets,0.264948253,0.125678897,2.108136363,0.03854986,1
Y 203 ,buy,-0.499362287,0.204767688,-2.438677179,0.017244136,1
Y 203 ,fun,-0.454945227,0.200573368,-2.268223502,0.026358825,1
