R 167 ,Estimate,Std..Error,t.value,Pr...t..,
R 167 ,(Intercept),130.7529197,96.24702228,1.358513922,0.178601428,1
R 167 ,inflation,0.686063646,0.331716433,2.068223269,0.04226301,1
R 167 ,office,2.287283982,0.575548909,3.974091424,0.000167723,1
R 167 ,sell,-1.638818886,0.791901393,-2.069473423,0.042142178,1
R 167 ,car,-1.816094694,0.722422662,-2.513894966,0.014209864,1
R 167 ,travel,3.149535866,0.820639866,3.837902589,0.000266503,1
R 167 ,tourism,-1.710459338,0.584812246,-2.924800821,0.004623912,1
R 167 ,trader,1.562992805,0.363294133,4.302279243,5.31E-05,1
R 167 ,kitchen,-1.475027108,0.665666675,-2.21586443,0.029907716,1
R 167 ,transaction,-0.850094021,0.39278794,-2.164256929,0.03380939,1
