A 187 ,Estimate,Std..Error,t.value,Pr...t..,
A 187 ,(Intercept),982.2742587,NA,NA,NA,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
A 187 ,,,,,,1
