M 266 ,Estimate,Std..Error,t.value,Pr...t..,
M 266 ,(Intercept),-78.4531956,46.12378114,-1.700927237,0.09333288,1
M 266 ,marriage,-0.289225924,0.105678633,-2.736843909,0.007832317,1
M 266 ,office,0.648020122,0.275816241,2.34946325,0.021586119,1
M 266 ,happy,0.471126403,0.179573657,2.623583056,0.010643421,1
M 266 ,crisis,-0.330394711,0.159533223,-2.071008807,0.041994187,1
M 266 ,holiday,0.458568105,0.21585087,2.124467252,0.037114202,1
M 266 ,derivatives,0.313365251,0.145182691,2.15842018,0.034277496,1
M 266 ,gain,0.422247321,0.178298961,2.368198439,0.020600991,1
M 266 ,default,0.471326007,0.182468056,2.583060386,0.011853627,1
M 266 ,economy,-0.725852372,0.258838026,-2.804272559,0.006499705,1
M 266 ,nyse,-0.574367364,0.225124582,-2.551331172,0.012886754,1
M 266 ,arts,-0.792213235,0.378782857,-2.091470667,0.040064398,1
M 266 ,culture,1.098194297,0.318381245,3.449305864,0.000949434,1
M 266 ,tourism,-0.639344372,0.280255445,-2.281291528,0.0255332,1
M 266 ,present,-0.957910369,0.271131412,-3.533011397,0.000726937,1
M 266 ,bubble,0.349060667,0.152896214,2.282990911,0.025427531,1
M 266 ,conflict,0.437071768,0.134554841,3.248279772,0.001774782,1
