M 100 ,Estimate,Std..Error,t.value,Pr...t..,
M 100 ,(Intercept),67.27839433,59.5883544,1.129052732,0.268129011,1
M 100 ,leverage,0.164515854,0.069578558,2.364461966,0.024965361,1
M 100 ,train,0.68487214,0.289133464,2.368705893,0.024727864,1
