T 278 ,Estimate,Std..Error,t.value,Pr...t..,
T 278 ,(Intercept),-19.15406333,21.8313821,-0.877363753,0.383248268,1
T 278 ,stocks,0.145525791,0.060298435,2.413425645,0.018385973,1
T 278 ,office,0.323525391,0.130549786,2.478176344,0.015585098,1
T 278 ,invest,0.414157386,0.110778865,3.73859568,0.000371441,1
T 278 ,happy,0.178726758,0.084996091,2.102764432,0.03903253,1
T 278 ,finance,-0.330829446,0.140495582,-2.354732029,0.02130493,1
T 278 ,success,-0.314263078,0.097758985,-3.214672067,0.001966065,1
T 278 ,food,0.231635022,0.102180568,2.266918516,0.026442552,1
T 278 ,crash,-0.088505774,0.039627407,-2.233448539,0.02867166,1
