S 146 ,Estimate,Std..Error,t.value,Pr...t..,
S 146 ,(Intercept),-5.948202614,31.98179926,-0.185987116,0.852985217,1
S 146 ,credit,0.50164052,0.226371479,2.216005841,0.029897592,1
S 146 ,marriage,-0.273504676,0.073276578,-3.732497935,0.00037903,1
S 146 ,office,0.410516165,0.191248407,2.146507634,0.035250459,1
S 146 ,rich,0.202774875,0.091471906,2.216799496,0.029840827,1
